FamilyEx,Genus,Species,AccessionList
Lamiaceae,Marrubium,vulgare,1975-0780; 1978-0417; 1999-0239
Lamiaceae,Melissa,officinalis,1979-0302; 1986-0304; 1998-0927; 2001-0347
Lamiaceae,Mentha,aquatica,1996-0514
Lamiaceae,Mentha,arvensis,1971-0117
Lamiaceae,Mentha,pulegium,1978-0397; 1978-0419; 1992-0742; 2024-0653
Lamiaceae,Mentha,spicata,1998-0928; 2001-0177; 2005-0247; 2023-0519; 2024-0533
Lamiaceae,Mentha,suaveolens,1975-0941; 1998-0914
Lamiaceae,Mentha,× piperita,1986-0305; 1998-0929; 2001-0346; 2002-0258
Lamiaceae,Nepeta,cataria,1975-0712; 1977-0139; 1978-0398; 1995-0249; 1998-0501
Lamiaceae,Origanum,vulgare,1998-0930
Lamiaceae,Stachys,byzantina,1980-0099
Lamiaceae,Stachys,palustris,1971-0064; 1975-0672
Lentibulariaceae,Pinguicula,macroceras,1971-0090; 1975-0395
Liliaceae,Lloydia,serotina,1977-0590
Melanthiaceae Tribe Melanthieae,Stenanthium,occidentale,1973-0162; 1974-0578; 1975-0178; 1975-0438; 2016-0266; 2018-0012; 2021-0014
Melanthiaceae Tribe Melanthieae,Zigadenus,elegans,1978-0737; 1979-0441; 1993-0562; 1995-0822; 1995-0960; 1998-0475
Montiaceae,Cistanthe,tweedyi,1972-0286; 1972-0532; 1973-0291; 1974-0012; 1974-0224; 1974-0754; 1976-0027; 1990-0506; 1991-0126; 1994-0560; 1998-0285; 2001-0424; 2001-0425; 2001-0426; 2004-0053; 2007-0388; 2010-0311; 2011-0710; 2011-0711; 2011-0712; 2011-0713; 2011-0714; 2011-0715; 2011-0716; 2011-0717; 2011-0718; 2011-0719; 2011-0720; 2011-0721; 2011-0722; 2011-0723; 2011-0724; 2011-0725; 2011-0726; 2011-0727; 2011-0728; 2011-0729; 2011-0730; 2011-0731; 2011-0732; 2011-0734; 2011-0742; 2011-0743; 2011-0744; 2011-0745; 2011-0746; 2011-0747; 2011-0748; 2011-0749; 2011-0750; 2012-0186; 2012-0187; 2012-0188; 2012-0189; 2012-0190; 2012-0191; 2012-0192; 2012-0193; 2016-0046
Onagraceae,Epilobium,angustifolium,1978-0096; 1982-0713; 1983-0687
Onagraceae,Oenothera,perennis,1994-0247; 1995-0068
Onocleaceae,Matteuccia,struthiopteris,1973-0524; 1974-0465; 1977-0345; 1997-0091; 2003-0317; 2011-0141; 2018-0818; 2019-0981
Ophioglossaceae,Botrychium,multifidum,1995-0419; 2013-0405; 2015-0348
Ophioglossaceae,Botrychium,virginianum,2017-0241
Orchidaceae,Hammarbya,paludosa,1976-0374
Orchidaceae,Listera,caurina,1971-0128; 1973-0603; 1975-0950
Orchidaceae,Listera,cordata,1975-0366
Orchidaceae,Piperia,unalascensis,1995-0253
Orchidaceae,Platanthera,hyperborea,1973-0600; 1973-0601; 1975-0951
Orobanchaceae,Castilleja,rhexifolia,1975-0681
Orobanchaceae,Castilleja,sulphurea,1975-0129
Orobanchaceae,Orobanche,uniflora,2019-1090
Oxalidaceae,Oxalis,stricta,1983-0720; 1984-0122
Papaveraceae subfam. Fumarioideae,Fumaria,officinalis,1978-0930
Papaveraceae subfam. Papaveroideae,Papaver,alboroseum,1977-0298; 1990-0245; 1992-0527; 2003-0155
Plantaginaceae,Callitriche,stagnalis,1976-0259; 1980-0495
Plantaginaceae,Digitalis,purpurea,1974-1361; 1975-0703; 1978-0396; 1998-0018; 2003-0211; 2004-0269; 2005-0191; 2006-0268; 2008-0210; 2010-0561; 2015-0154; 2019-0283; 2021-0350; 2022-0644
Plantaginaceae,Linaria,genistifolia,1975-0318; 1996-0106
Plantaginaceae,Linaria,purpurea,1975-0319
Plantaginaceae,Linaria,vulgaris,1975-0365; 1980-0107
Plantaginaceae,Plantago,major,1974-0795; 1975-0714; 2001-0170; 2010-0559
Plantaginaceae,Veronica,chamaedrys,1977-0792; 1996-0492
Plantaginaceae,Veronica,officinalis,1975-0350; 1975-0799; 2013-0225
Plantaginaceae,Veronica,persica,1984-0129
Poaceae subfam. Chloridoideae,Eragrostis,cilianensis,1989-0096
Poaceae subfam. Chloridoideae,Eragrostis,minor,1989-0095
Poaceae subfam. Panicoideae,Cenchrus,longispinus,1989-0098
Poaceae subfam. Panicoideae,Digitaria,ischaemum,1987-0300
Poaceae subfam. Panicoideae,Panicum,occidentale,1975-0635
Poaceae subfam. Panicoideae,Panicum,oligosanthes,1976-0338; 1995-0431
Poaceae subfam. Panicoideae,Setaria,glauca,1987-0301
Poaceae subfam. Pharoideae,Alopecurus,geniculatus,1988-0305
Poaceae subfam. Pharoideae,Ammophila,arenaria,1976-0357
Poaceae subfam. Pharoideae,Anthoxanthum,odoratum,1976-0261
Poaceae subfam. Pharoideae,Bromus,briziformis,1986-0238
Poaceae subfam. Pharoideae,Bromus,carinatus,2005-0328
Poaceae subfam. Pharoideae,Bromus,inermis,1983-0659
Poaceae subfam. Pharoideae,Cynosurus,echinatus,1973-0067
Poaceae subfam. Pharoideae,Dactylis,glomerata,1984-0491
Poaceae subfam. Pharoideae,Elymus,smithii,1986-0404
Poaceae subfam. Pharoideae,Hierochloe,hirta,1972-0096; 1995-0425
Poaceae subfam. Pharoideae,Holcus,lanatus,1976-0316
Poaceae subfam. Pharoideae,Leymus,× vancouverensis,1995-0438
Poaceae subfam. Pharoideae,Lolium,multiflorum,1977-0470
Poaceae subfam. Pharoideae,Phalaris,canariensis,1983-0721
Poaceae subfam. Pharoideae,Phleum,pratense,1983-0722
Poaceae subfam. Pharoideae,Poa,annua,1985-0054
Poaceae subfam. Pharoideae,Poa,bulbosa,1978-0493
Poaceae subfam. Pharoideae,Poa,nemoralis,1972-0151
Poaceae subfam. Pharoideae,Vulpia,myuros,1985-0056
Poaceae subfam. Pooideae,Festuca,tenuifolia,1983-0696
Poaceae subfam. Pooideae,Stipa,comata,1973-0145
Poaceae subfam. Pooideae,Stipa,hymenoides,1977-0143
Poaceae subfam. Pooideae,Stipa,lemmonii,2005-0333; 2007-0221
Poaceae subfam. Pooideae,Stipa,occidentalis,2010-0217
Poaceae subfam. Pooideae,Stipa,richardsonii,1974-0486
Polemoniaceae,Gilia,capitata,2019-0294; 2021-0080; 2021-0361
Polemoniaceae,Leptodactylon,pungens,1975-0414; 1999-0113; 2007-0210
Polemoniaceae,Phlox,hoodii,1999-0344; 2002-0200
Polygonaceae,Persicaria,nepalensis,1984-0551
Polygonaceae,Polygonum,amphibium,1975-0646
Polygonaceae,Polygonum,persicaria,1983-0727
