MAP_LABEL,BGC_LABEL,ZONE,ZONE_NAME,SUBZONE,SUBZONE_NAME,VARIANT,VARIANT_NAME,PHASE,PHASE_NAME,NATURAL_DISTURBANCE,NATURAL_DISTURBANCE_NAME
MSxk1,MS  xk 1,MS,Montane Spruce,xk,Very Dry Cool,1,Similkameen,,,NDT3,Ecosystems with frequent stand-initiating events
MSxk2,MS  xk 2,MS,Montane Spruce,xk,Very Dry Cool,2,South Thompson,,,NDT3,Ecosystems with frequent stand-initiating events
MSxk3,MS  xk 3,MS,Montane Spruce,xk,Very Dry Cool,3,Pavillion,,,NDT3,Ecosystems with frequent stand-initiating events
MSxv,MS  xv,MS,Montane Spruce,xv,Very Dry Very Cold,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
PPxh1,PP  xh 1,PP,Ponderosa Pine,xh,Very Dry Hot,1,Okanagan,, ,NDT4,Ecosystems with frequent stand-maintaining fires
PPxh2,PP  xh 2,PP,Ponderosa Pine,xh,Very Dry Hot,2,Thompson,, ,NDT4,Ecosystems with frequent stand-maintaining fires
SBPSdc,SBPSdc,SBPS,Sub-Boreal Pine -- Spruce,dc,Dry Cold,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBPSmc,SBPSmc,SBPS,Sub-Boreal Pine -- Spruce,mc,Moist Cold,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBPSmk,SBPSmk,SBPS,Sub-Boreal Pine -- Spruce,mk,Moist Cool,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBPSxc,SBPSxc,SBPS,Sub-Boreal Pine -- Spruce,xc,Very Dry Cold,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdh1,SBS dh 1,SBS,Sub-Boreal Spruce,dh,Dry Hot,1,McLennan,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdh2,SBS dh 2,SBS,Sub-Boreal Spruce,dh,Dry Hot,2,Robson,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdk,SBS dk,SBS,Sub-Boreal Spruce,dk,Dry Cool,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdw1,SBS dw 1,SBS,Sub-Boreal Spruce,dw,Dry Warm,1,Horsefly,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdw2,SBS dw 2,SBS,Sub-Boreal Spruce,dw,Dry Warm,2,Blackwater,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSdw3,SBS dw 3,SBS,Sub-Boreal Spruce,dw,Dry Warm,3,Stuart,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmc1,SBS mc 1,SBS,Sub-Boreal Spruce,mc,Moist Cold,1,Moffat,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmc2,SBS mc 2,SBS,Sub-Boreal Spruce,mc,Moist Cold,2,Babine,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmc3,SBS mc 3,SBS,Sub-Boreal Spruce,mc,Moist Cold,3,Kluskus,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmh,SBS mh,SBS,Sub-Boreal Spruce,mh,Moist Hot,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmk1,SBS mk 1,SBS,Sub-Boreal Spruce,mk,Moist Cool,1,Mossvale,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmk2,SBS mk 2,SBS,Sub-Boreal Spruce,mk,Moist Cool,2,Williston,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmm,SBS mm,SBS,Sub-Boreal Spruce,mm,Moist Mild,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSmw,SBS mw,SBS,Sub-Boreal Spruce,mw,Moist Warm,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSun,SBS un,SBS,Sub-Boreal Spruce,un,Undifferentiated,, ,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSvk,SBS vk,SBS,Sub-Boreal Spruce,vk,Very Wet Cool,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
SBSwk1,SBS wk 1,SBS,Sub-Boreal Spruce,wk,Wet Cool,1,Willow,, ,NDT2,Ecosystems with infrequent stand-initiating events
SBSwk2,SBS wk 2,SBS,Sub-Boreal Spruce,wk,Wet Cool,2,Finlay-Peace,, ,NDT2,Ecosystems with infrequent stand-initiating events
SBSwk3,SBS wk 3,SBS,Sub-Boreal Spruce,wk,Wet Cool,3,Takla,, ,NDT3,Ecosystems with frequent stand-initiating events
SBSwk3a,SBS wk 3a,SBS,Sub-Boreal Spruce,wk,Wet Cool,3,Takla,a,Douglas-fir,NDT3,Ecosystems with frequent stand-initiating events
SWBmk,SWB mk,SWB,Spruce -- Willow -- Birch,mk,Moist Cool,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
SWBmks,SWB mks,SWB,Spruce -- Willow -- Birch,mks,Moist Cool Scrub,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
SWBun,SWB un,SWB,Spruce -- Willow -- Birch,un,Undifferentiated,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
SWBuns,SWB uns,SWB,Spruce -- Willow -- Birch,uns,Undifferentiated scrub,,,,,NDT2,Ecosystems with infrequent stand-initiating events
SWBvk,SWB vk,SWB,Spruce -- Willow -- Birch,vk,Very Wet Cool,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
SWBvks,SWB vks,SWB,Spruce -- Willow -- Birch,vks,Very Wet Cool Scrub,, ,, ,NDT2,Ecosystems with infrequent stand-initiating events
